activity_name,best_match,confidence_score,category
اعمال الصباغة الحديثة والترميم داخليا وخارجيا+فن التشكيلي والخط العربي,Other,0.726,new propodsed
بيع الملابس,تجارة بالتجزئة للألبسة ، الأحذية و الأنسجة ، الممارسة على العرض,0.838,rejected because has rejistre comercial or hirafi
خياطة أو حلويات,حلويات,0.878,rejected because has rejistre comercial or hirafi
سائق توصيل طرود,chauffeur de salle,0.859,exist
حلاق coiffure,coiffeur spectacle,0.842,exist
placo plâtre,Other,0.795,new propodsed
توزيع وتركيب الاجهزة الطبية,Other,0.784,new propodsed
تهيئة مساحات الخضراء و مساحات موجودة ف السكنات الجماعية,تهيئة المساحات الخضراء,0.831,rejected because has rejistre comercial or hirafi
marketing,chargé d'études en marketing,0.832,exist
service a la personne,Other,0.779,new propodsed
service a la personne,Other,0.779,new propodsed
30161,Other,0.578,new propodsed
30601,Other,0.572,new propodsed
30601,Other,0.572,new propodsed
قاعة ألعاب رياضية,قاعة ألعاب,0.876,rejected because has rejistre comercial or hirafi
maintenance informatique,Other,0.828,new propodsed
trading sur les marches financiers (forex/indices/stocks),Other,0.807,new propodsed
livraison,Other,0.81,new propodsed
formateur sur le depannage et reparation des engeins,Other,0.736,new propodsed
réparation des engins de travaux publique,تصليح العتاد و ماكينات البناء و الأشغال العمومية,0.913,rejected because has rejistre comercial or hirafi
خياطة,اﻟﺳﺎﻗﻳﺔ,0.986,rejected because has rejistre comercial or hirafi
plombier,technicien de plancher,0.905,exist
"conseil, expertise et formation",Other,0.788,new propodsed
pharmacie,صيدلية,0.959,rejected because has rejistre comercial or hirafi
بيع الأثاث و ادوات التأثيث,تجارة بالتجزئة للأثاث و أدوات التأثيث,0.898,rejected because has rejistre comercial or hirafi
التداول في اسواق المال,محلل السوق المالي,0.871,exist
formation en gestion des ressources humaine,مساعد في تسيير الموارد البشرية,0.872,exist
صيدلي,صيدلية,0.982,rejected because has rejistre comercial or hirafi
camera de servallance système d'alarme,عون صيانة في أنظمة الإنذار والأمان,0.879,exist
graphic design (logo making),designer graphique,0.843,exist
حلويات ومرطبات,حلويات,0.96,rejected because has rejistre comercial or hirafi
directeur général de transition / مدير عام إنتقالي,Other,0.728,new propodsed
conseiller en diététique et nutrition,Other,0.727,new propodsed
atelier de confection,Other,0.791,new propodsed
consultant en qhse,Other,0.691,new propodsed
شراء وتوصيل قطع غيار السيارات,تجارة بالتجزئة لقطع الغيار و لواحق السيارات,0.87,rejected because has rejistre comercial or hirafi
محل حلويات لمرضي السكري,Other,0.736,new propodsed
الاشهار,اﻟﺗﺟﻠﻳد,0.968,rejected because has rejistre comercial or hirafi
evenementiel,Other,0.782,new propodsed
a. conseil  1. évaluer les risques de survenue des maladies à transmission vectorielles  2. aider au développement de politiques de santé publique   3. consultation pour la gestion des programmes de contrôle vectoriel   b. expertise  1. recherche et analyse des insectes vecteurs   2. surveillance entomologique   3. évaluation des insecticides et des méthodes de contrôle utilisées  c. formation  1. formation des professionnels intervenants   2. éducation et sensibilisation de la population:  3. formation en techniques de contrôle des insectes vecteurs   4. cours de formation et programmes de certification,Other,0.548,new propodsed
cyber café,سيبر مقهى (المقهى الإلكتروني,0.845,rejected because has rejistre comercial or hirafi
ساعي بواسطة دراجة نارية,ساعي بواسطة دراجة نارية,1.0,exist
مرافقة الناس في سفرهم,Other,0.762,new propodsed
مرافقة الناس في سفرهم,Other,0.762,new propodsed
توزيع وتركيب الاجهزة الطبية,Other,0.784,new propodsed
services informatiques et installation réseaux,Other,0.786,new propodsed
ميكانيكي الوزن الثقيل متنقل,ﺣرﻓﻲ  ﻣﻳﻛﺎﻧﻳﻛﻲ  اﻟوزن  اﻟﺛﻘﻳﻝ اﻟﻣﺧﺻص ﻟﻠﻧﻘﻝ اﻟﺑري ﺗﺻﻠﻳﺢ ﻣﻳﻛﺎﻧﻳﻛﻲ  ﻟوﺳﺎﺋﻝ  اﻟﻧﻘﻝ  اﻟﺑري,0.856,rejected because has rejistre comercial or hirafi
تداول عملات الرقمية,Other,0.665,new propodsed
design et décoration d’intérieur,Other,0.828,new propodsed
ميكانيك عام,الميكانيك العامة,0.832,rejected because has rejistre comercial or hirafi
agent de voyage,Other,0.726,new propodsed
"conseil, expertise et formation",Other,0.788,new propodsed
plombie chauffagiste a domicile,عون صيانة في التبريد,0.867,exist
عامل الخراسانة,مدير الجوق,0.843,exist
10117,Other,0.604,new propodsed
مرصص,خطاط,0.982,exist
travaux bâtiment,اﻟﺑﻧﺎء,0.925,rejected because has rejistre comercial or hirafi
مجال تجارة الدومينات,تجارة بالتجزئة للزرابي,0.85,rejected because has rejistre comercial or hirafi
العلاج بالحجامة النبوية,Other,0.753,new propodsed
tailleur couturée,مصمم المواد النسيجية,0.885,exist
nettoyage,ﺗﻧظﻳف   واﺟﻬﺎت   اﻟﺑﻧﺎﻳﺎت,0.875,rejected because has rejistre comercial or hirafi
logistique de loisirs et de recréation,Other,0.768,new propodsed
livraison moto,Other,0.817,new propodsed
traveaux de gaz et aussi linstalation de jet d eau,Other,0.81,new propodsed
électricité automobile,كهرباء السيارات,0.957,rejected because has rejistre comercial or hirafi
domaine de la construction,اﻟﺑﻧﺎءات,0.919,rejected because has rejistre comercial or hirafi
événementiel sportif,Other,0.82,new propodsed
التداول,وسطاء في عمليات البورصة,0.841,rejected because has rejistre comercial or hirafi
traduction rédaction révision et correction,Other,0.759,new propodsed
مجال التداول,تجارة بالتجزئة للبزاة,0.855,rejected because has rejistre comercial or hirafi
cosmétiques,Other,0.731,new propodsed
transporte marchandise,و كيل نقل البضائع,0.886,rejected because has rejistre comercial or hirafi
formation online de la naturopathie,Other,0.558,new propodsed
fabrication et vente de vetement,Other,0.827,new propodsed
instalation de systeme d'automatisme des access,Other,0.749,new propodsed
livreur,cadreur,0.87,exist
نجارة خشب اليمينيوم تركيا... الخ,Other,0.751,new propodsed
تدريب الحساب الذهني,Other,0.644,new propodsed
ingénieur conseil en gestion technique et administrative des projets hydrauliques,Other,0.804,new propodsed
تكوين في تربية الحيوانات مثل النحل و الاغنام و الابقار و تربية الوزن و غيرها,Other,0.708,new propodsed
expert et formateur en industrie de gaz,Other,0.757,new propodsed
couturière (haute couture),ﺧﻳﺎطﺔ وﺗﻔﺻﻳﻝ اﻟﻣﻼﺑس اﻟﺟﻠدﻳﺔ,0.864,rejected because has rejistre comercial or hirafi
couturière (haute couture),ﺧﻳﺎطﺔ وﺗﻔﺻﻳﻝ اﻟﻣﻼﺑس اﻟﺟﻠدﻳﺔ,0.864,rejected because has rejistre comercial or hirafi
مدرب تنمية بشرية,Other,0.729,new propodsed
couturière (haute couture),ﺧﻳﺎطﺔ وﺗﻔﺻﻳﻝ اﻟﻣﻼﺑس اﻟﺟﻠدﻳﺔ,0.864,rejected because has rejistre comercial or hirafi
couturière (haute couture),ﺧﻳﺎطﺔ وﺗﻔﺻﻳﻝ اﻟﻣﻼﺑس اﻟﺟﻠدﻳﺔ,0.864,rejected because has rejistre comercial or hirafi
بيع ملابس تجارة الكترونية,Other,0.799,new propodsed
consultante en management énergétique et environnemental et sécurité industrielle,Other,0.779,new propodsed
producteur de poulets de chair,Other,0.814,new propodsed
e-comerce,مسوق التجارة الالكترونية,0.902,exist
prêt à porter en ligne,Other,0.722,new propodsed
photographe évènementiel,photographe événementiel,0.995,exist
تداول فوركس,Other,0.794,new propodsed
شراء وبيع المنتجات بالجملة والتجزئة,تجارة بالتجزئة لمنتجات الصناعة التقليدية,0.849,rejected because has rejistre comercial or hirafi
مجال الخياطة,دور الحضانة,0.869,rejected because has rejistre comercial or hirafi
توزيع الخضر والفواكه عبر ولايات,Other,0.816,new propodsed
نقل منتجات غذائية,إطعام متنقل,0.843,rejected because has rejistre comercial or hirafi
bureau comptabilite,مؤسسة المحاسبة,0.883,rejected because has rejistre comercial or hirafi
formateur,cadreur,0.847,exist
assistant(e) aux rendez-vous administratif,assistant de gestion administrative du personnel,0.889,exist
traduction,Other,0.773,new propodsed
désigne et communication,استشاري الاتصالات,0.833,exist
artisans et ouvriers,tailleur en usinage,0.834,exist
طباخ,cuisinier(ère) à domicile,0.856,exist
منشط خرجات ومراكز قضاء العطل والترفيه,مراكز العطل و الترفيه للشباب,0.929,rejected because has rejistre comercial or hirafi
"responsable de la communication, attachée de presse, consultante",مساعد في العلاقات الصحفية,0.855,exist
مدير خرجات ومراكز قضاء العطل والترفيه,Other,0.753,new propodsed
نجارة وتركيب الألمنيوم والواجهات العازلة,Other,0.813,new propodsed
responsable de la communication,تقني في الاتصالات,0.876,exist
attachée de presse,Other,0.756,new propodsed
consultante-rédactrice,Other,0.817,new propodsed
responsable de la communication,تقني في الاتصالات,0.876,exist
attachée de presse,Other,0.756,new propodsed
سائق سيارة أجرة,مؤسسة سيارات الأجرة,0.846,rejected because has rejistre comercial or hirafi
fabrication,Other,0.797,new propodsed
transporteur,بيطار متنقل,0.846,rejected because has rejistre comercial or hirafi
الطباعة عند الطلب,مركب في الطباعة,0.896,exist
صناعة الاجهزة الموجهة لذوي الاحتياجات الخاصة,Other,0.713,new propodsed
trading/التداول,Other,0.821,new propodsed
صناعت قاعدت بينات وموقع الكتروني,Other,0.796,new propodsed
minuisre bois melamine est mdf,Other,0.698,new propodsed
les spots publicitaire,عارض ازياء إعلانات,0.838,exist
commerce,Other,0.786,new propodsed
livreur avec voiture et moto,coursier(e) à moto,0.866,exist
البناء,اﻟﺑﻧﺎء,1.0,rejected because has rejistre comercial or hirafi
conseil,Other,0.744,new propodsed
un show pour enfant,Other,0.707,new propodsed
متداول في سوق الفوركس,Other,0.817,new propodsed
trader professionnel dans les marchées financiers,اخصائي اقتصادي في السوق المالي,0.85,exist
journaliste web,مؤسسة صحفية,0.836,rejected because has rejistre comercial or hirafi
treding,Other,0.805,new propodsed
consultant en aéronautique,مختص هوائيات,0.855,exist
fabrication et vente de vetements,ﺻﻧﺎﻋﺔ ﻣواد اﻟﺗﻐﻠﻳف و اﻟﺗﻌﺑﺋﺔ,0.881,rejected because has rejistre comercial or hirafi
electricien batiment,electricien en balisage,0.969,exist
consultant expert en traitement chimique dans le domaine pétrolier,technicien analyse en exploration pétrolière,0.846,exist
خياطة ملابس جاهزة / couturier prêt à porter,costumier-habilleur,0.837,exist
expert en services web,Other,0.743,new propodsed
ingénieur conseil en gestion technique et administrative des projets hydrauliques,Other,0.804,new propodsed
"relations publics, marketing,communication",Other,0.75,new propodsed
confection de linge pour bébé et enfant,Other,0.682,new propodsed
maintenance et installation industrielle,préparateur d'entretien en maintenance industrielle,0.866,exist
التركيب الصحي و الغاز,تعبئة الغاز الصناعي,0.862,rejected because has rejistre comercial or hirafi
التداول في سوق الفوركس,وسطاء في عمليات البورصة,0.901,rejected because has rejistre comercial or hirafi
تاجر متنقل,تاجر متنقل للبزاة,0.981,rejected because has rejistre comercial or hirafi
ingénieur en équipement de l'habitat,مهندس في البستنة,0.856,exist
60310,Other,0.541,new propodsed
location immoblier en saison estival,Other,0.713,new propodsed
محل عطور,مقهى و مطعم,0.844,rejected because has rejistre comercial or hirafi
artisans et ouvriers,tailleur en usinage,0.834,exist
artisans et ouvriers,tailleur en usinage,0.834,exist
étanchéité,altiste,0.834,exist
chauffeur livreur,chauffeur de salle,0.918,exist
emission dédiée à l'infertilité,Other,0.504,new propodsed
peinture bâtiment,Other,0.793,new propodsed
"etude de trafic routier, mobilité et études de transport",Other,0.802,new propodsed
urbanisme,Other,0.8,new propodsed
تداول العملات الرقمية,Other,0.724,new propodsed
توزيع وتركيب الاجهزة الطبية,Other,0.784,new propodsed
"etude de trafic routier,mobilité, etude de transport et etude de sécurité routière écurité routière",Other,0.718,new propodsed
"etude de trafic routier, mobilité et études de transport et sécurité routière t",Other,0.725,new propodsed
naturopathie,Other,0.645,new propodsed
architecte,Other,0.819,new propodsed
مهندس خبير في البصريات و النظارات الطبية,Other,0.796,new propodsed
العربية تربية الدواجن,Other,0.676,new propodsed
guide touristique et animations en tout genre,Other,0.706,new propodsed
صناعة الحلويات التقليدية,ﺻﻧﺎﻋﺔ اﻟﺣﻠوﻳﺎت,0.932,rejected because has rejistre comercial or hirafi
automatique industriel,opérateur sur machine automatisée de production mécanique,0.915,exist
cuisiner à domicile,طباخ(ة) منزلي(ة),0.852,exist
jardinaje,jardinier(ère),0.891,exist
beatmaking/ music production + audio engineer,Other,0.818,new propodsed
coiffeur,coiffeur spectacle,0.909,exist
تداول الفوركس والعملات الرقمية,Other,0.687,new propodsed
consultante en management énergétique et environnemental et sécurité industrielle,Other,0.779,new propodsed
مساح طبوغراغي و إنشاء مختلف الخرائط,Other,0.786,new propodsed
réparateur mobile smartphone,Other,0.786,new propodsed
démarchage commercial,Other,0.717,new propodsed
la coiffure,coiffeur spectacle,0.861,exist
توزيع وتركيب الاجهزة الطبية,Other,0.784,new propodsed
طباخ,cuisinier(ère) à domicile,0.856,exist
charpentier en bois,modeleur bois,0.881,exist
ترصيص صحي,ﺣرﻓﻲ ﻣرﺻص اﻟﺗرﺻﻳص اﻟﺻﺣﻲ,0.846,rejected because has rejistre comercial or hirafi
الحجامة والتدليك والطب البديل,Other,0.748,new propodsed
fabrication de produits cosmétiques,Other,0.795,new propodsed
تسيير ، تنظيم و تاطير المسابح و فضاءات التسلية و الترفيه,استغلال قاعات الاستعراضات ، التسلية والترفيه الأخرى,0.876,rejected because has rejistre comercial or hirafi
co-hôte airbnb,Other,0.749,new propodsed
تسيير ، تنظيم و تاطير المسابح و فضاءات التسلية و الترفيه,استغلال قاعات الاستعراضات ، التسلية والترفيه الأخرى,0.876,rejected because has rejistre comercial or hirafi
conseiller fiscal,Other,0.787,new propodsed
chauffeur vtc,chauffeur vtc (voiture de transport avec chauffeur),0.907,exist
journaliste,مؤسسة صحفية,0.905,rejected because has rejistre comercial or hirafi
استشارة قانونية,مكتب الاستشارة القانونية,0.924,rejected because has rejistre comercial or hirafi
تقني الصيانة الهواتف الذكية,تقني صيانة في مجال الهواتف,0.916,exist
accompagnateur de voyage,Other,0.792,new propodsed
مالك تطبيق أو موقع إلكتروني,Other,0.709,new propodsed
بيع المنتجات الرقمية,Other,0.826,new propodsed
مالك متجر إلكتروني,Other,0.814,new propodsed
architect d'interieur (designer),Other,0.815,new propodsed
صيانة وتصليح كهرباء السيارات متنقل,تصليح كهرباء السيارات,0.916,rejected because has rejistre comercial or hirafi
chargé d'études fiscales,chargé d'études financières,0.856,exist
"formations ;conseil ,expertise;stages et recrutement",Other,0.696,new propodsed
conseil et formation,Other,0.796,new propodsed
la science des emballages et lignes de conditionnement,Other,0.743,new propodsed
مجال الكهرباء,electricien en balisage,0.901,exist
la science des emballages et lignes de conditionnement,Other,0.743,new propodsed
تطبيق لعرض الوجبات,Other,0.646,new propodsed
bas fréquence,Other,0.661,new propodsed
chauffeur moto et vélo,coursier(e) à moto,0.938,exist
chauffeur moto et vélo,coursier(e) à moto,0.938,exist
خراط,خراط,1.0,exist
بيع أجهزة الإعلام الآلي و المكاتب,Other,0.824,new propodsed
concepteur graphique/ motion designer,motion designer,0.913,exist
plombier,technicien de plancher,0.905,exist
الوكالة العقارية وادارت الاملاك,ديوان الترقية و التسيير العقاري,0.911,rejected because has rejistre comercial or hirafi
موزع الطرود البريدية,تسيير الصناديق البريدية (سيدكس,0.883,rejected because has rejistre comercial or hirafi
mécanique,noyauteur mécanique,0.93,exist
تجارة مكتبة,تجارة بالتجزئة للمكتبة و الوراقة,0.932,rejected because has rejistre comercial or hirafi
تسويق,Other,0.786,new propodsed
innovation et créativité,Other,0.615,new propodsed
panter et décoration,مُنشئ في الديكور,0.832,exist
fabrication et vente de vetements,ﺻﻧﺎﻋﺔ ﻣواد اﻟﺗﻐﻠﻳف و اﻟﺗﻌﺑﺋﺔ,0.881,rejected because has rejistre comercial or hirafi
pièces détachées,Other,0.794,new propodsed
technicienne ciliaire,technicien galéniste,0.914,exist
centre de formation,Other,0.644,new propodsed
organisateur tourisme,وكالة السفر والسياحة,0.843,rejected because has rejistre comercial or hirafi
cart felah تربية الدواجن,Other,0.727,new propodsed
électricité bâtiments,ﺣرﻓﻲ ﻛﻬرﺑﺎﺋﻲ  ﻓﻲ اﻟﺑﻧﺎﻳﺎت ﺗرﻛﻳب اﻟﻛﻬرﺑﺎء,0.888,rejected because has rejistre comercial or hirafi
agence de tourisme en ligne,وكالة السفر والسياحة,0.884,rejected because has rejistre comercial or hirafi
production artisanale,Other,0.8,new propodsed
formateur cuisine,technicien-cuisiniste en cuisines professionnelles,0.884,exist
النتاج الصناعي -خدمات,Other,0.801,new propodsed
"bâtiment, travaux publics et travaux divers",Other,0.799,new propodsed
‏الصباغة والتلويت,peintre en décor spectacle,0.866,exist
couturière,aciériste versée coulée,0.896,exist
mécanicien et pieces automobile,مركب القطع الميكانيكية,0.857,exist
عامل دهان,دهان متنقل,0.853,rejected because has rejistre comercial or hirafi
événement cuturel,Other,0.796,new propodsed
بزنس اون اين,ﺣرﻓﻲ ﺧراط,0.83,rejected because has rejistre comercial or hirafi
formateur en informatique,informaticien chargé d'étude,0.852,exist
consultant en formulation chimique,technicien chimiste en recherche-développement,0.868,exist
guide touristique local,Other,0.829,new propodsed
e-commerce,محلل التجارة الإلكترونية,0.953,exist
العلاج الطبيعي,أخصائي في العلاج طبيعي,0.879,exist
location matériel,ﺗرﻛﻳب  اﻟﺗﺟﻬﻳزات  و  اﻟﻣﻌدات,0.836,rejected because has rejistre comercial or hirafi
traiteur a domicile,Other,0.762,new propodsed
صناعة الاجبان,ﺻﻧﺎﻋــﺔ اﻷﻗﻔــﺎص,0.957,rejected because has rejistre comercial or hirafi
électricien général et placoplatre,Other,0.775,new propodsed
livraison,Other,0.81,new propodsed
coiffure,Other,0.817,new propodsed
représentant commercial,وكيل تجاري,0.887,rejected because has rejistre comercial or hirafi
marketing business administration,Other,0.777,new propodsed
خياطة منزلية,شَيف منزلي,0.899,exist
kima t7abo,Other,0.493,new propodsed
pilote drone,Other,0.623,new propodsed
التركيب الصحي و الغاز و التدفئة المركزية,Other,0.822,new propodsed
مهندس خبير في البصريات و النظارات الطبية,Other,0.796,new propodsed
حدادة فنية,menuisier en décor spectacle,0.883,exist
البناء,اﻟﺑﻧﺎء,1.0,rejected because has rejistre comercial or hirafi
البناء,اﻟﺑﻧﺎء,1.0,rejected because has rejistre comercial or hirafi
توزيع وتركيب الاجهزة الطبية,Other,0.784,new propodsed
البناء,اﻟﺑﻧﺎء,1.0,rejected because has rejistre comercial or hirafi
البناء,اﻟﺑﻧﺎء,1.0,rejected because has rejistre comercial or hirafi
installation climatiseur,ﺗرﻛﻳب اﻟﻣﻛﻳﻔﺎت وآﻻت   اﻟﺗﺑرﻳد,0.905,rejected because has rejistre comercial or hirafi
ديكوراتار,Other,0.818,new propodsed
expert philatelie,Other,0.663,new propodsed
entreprise de construction,اﻟﺑﻧﺎء,0.854,rejected because has rejistre comercial or hirafi
traduction,Other,0.773,new propodsed
téléopératrice commercial,marketeur réseaux de télécoms,0.87,exist
e-commerce,محلل التجارة الإلكترونية,0.953,exist
عامل بلالط,منمق-منقح بالكروم,0.88,exist
تجارة مكتبة,تجارة بالتجزئة للمكتبة و الوراقة,0.932,rejected because has rejistre comercial or hirafi
traducteur interprète,مقتبس-مترجم,0.877,exist
aide menagere,aide fondeur,0.875,exist
peintre et décorateur maison,مصمم أثاث,0.83,exist
tourisme,دليل في السياحة,0.944,rejected because has rejistre comercial or hirafi
commercial,Other,0.792,new propodsed
électricien bâtiment,ﺣرﻓﻲ ﻛﻬرﺑﺎﺋﻲ  ﻓﻲ اﻟﺑﻧﺎﻳﺎت ﺗرﻛﻳب اﻟﻛﻬرﺑﺎء,0.908,rejected because has rejistre comercial or hirafi
10726,Other,0.507,new propodsed
نجارة الالمنيوم تغليف واجهات المباني,Other,0.82,new propodsed
مقاول  في  ميدان الري,مسؤول ورشة الحفر الضوئي,0.848,exist
prestation de service,مؤسسة خدمات المواني,0.882,rejected because has rejistre comercial or hirafi
stylisme-modelisme et haute couture,Other,0.83,new propodsed
traducteur -interprete,Other,0.821,new propodsed
توزيع وتركيب الاجهزة الطبية,Other,0.784,new propodsed
conseiller en orientation académique,Other,0.771,new propodsed
conseiller en voyages,Other,0.764,new propodsed
barista,Other,0.814,new propodsed
enseignant d'anglais en ligne,enseignant(e) en ligne,0.884,exist
formateur en langue anglaise,معلم(ة) خصوصي(ة) مدرسي(ة),0.856,exist
assistant administratif et spécialiste de l'inscription numérique,Other,0.784,new propodsed
achat en gros et vente au detail de vetements,Other,0.826,new propodsed
conseiller en recherche d emploi,مساعد في تسيير المسارات المهنية والأجور,0.85,exist
11004,Other,0.591,new propodsed
هيكلي لانجاز هيكلة المركبات,Other,0.823,new propodsed
décorateur intérieur,منسق الديكور للعروض,0.867,exist
نقل أشخاص,نقل الأشخاص الموجه,0.932,rejected because has rejistre comercial or hirafi
تكوين,اﻟﺗﺟﻠﻳد,0.86,rejected because has rejistre comercial or hirafi
expert en aromathérapie,Other,0.73,new propodsed
coach professionnel,coach sportif,0.906,exist
مكون في البرامج التقنية و الهندسية,ingénieur méthodes informatiques,0.869,exist
un foyer ( cafétéria et fast food),مقهى و مطعم,0.858,rejected because has rejistre comercial or hirafi
البناء,اﻟﺑﻧﺎء,1.0,rejected because has rejistre comercial or hirafi
"conceil expertise en asset management, maintenance et fiabilité",Other,0.685,new propodsed
بناء,اﻟﺑﻧﺎء,0.987,rejected because has rejistre comercial or hirafi
consultant en procédures de dédouanement  et règlement des litiges douaniers,وكيل معتمد لدى الجمارك,0.833,rejected because has rejistre comercial or hirafi
مطور الواب و الوسائط الإعلامية,مطور في الوسائل الإعلام المتعددة,0.912,exist
bureau d'ingénierie et étude technique en génie civil,مكتب الهندسة والدراسات التقنية,0.884,rejected because has rejistre comercial or hirafi
fabrication des meubles et décoration,designer mobilier,0.899,exist
extended reality / spatial computing خبير في الواقع الممتد,Other,0.547,new propodsed
تركيب المكيفات و كاميرات المراقبة,Other,0.797,new propodsed
conciergerie d'entreprise,responsable d'affaires en industrie,0.869,exist
تأليف أشهار وتدريب,Other,0.726,new propodsed
دروس الدعم,Other,0.657,new propodsed
دروس الدعم,Other,0.657,new propodsed
قاعة العاب الاكترونية,قاعة ألعاب,0.855,rejected because has rejistre comercial or hirafi
consultant en formation,Other,0.819,new propodsed
livreur avec voiture,مسؤول الاكسسوارات,0.866,exist
dessinateur projecteur en architecture,Other,0.823,new propodsed
تربية الدجاج و الارانب,Other,0.738,new propodsed
30601	 chauffeur(se) de personnes,Other,0.735,new propodsed
location de voitures,Other,0.802,new propodsed
تداول العملات الرقمية,Other,0.724,new propodsed
conseiller et expert  du foncier urbain,Other,0.748,new propodsed
conseiller et expert foncier,expert agricole et foncier,0.848,exist
البناء,اﻟﺑﻧﺎء,1.0,rejected because has rejistre comercial or hirafi
conseiller et expert en architecture,مؤسسة معمارية,0.847,rejected because has rejistre comercial or hirafi
aménagement extérieur et intérieur,Other,0.743,new propodsed
تكوين و تدريب في الحلاقة و التجميل,Other,0.753,new propodsed
peinture et décoration avec piaco plate,Other,0.791,new propodsed
chauffeur perssonel,Other,0.763,new propodsed
fondateur d'une start up innovante.,Other,0.589,new propodsed
مدرسة تعليم اللغات,مؤسسة تعليم اللغات,0.948,rejected because has rejistre comercial or hirafi
التداول,وسطاء في عمليات البورصة,0.841,rejected because has rejistre comercial or hirafi
agent de sécurité,spécialiste en sécurité des systèmes,0.856,exist
directeur des ressources humaines,assistant de gestion en ressources humaines,0.924,exist
expert formateur,Other,0.8,new propodsed
توزيع مبيعات,Other,0.799,new propodsed
التوصيل,خطاط متنقل,0.89,rejected because has rejistre comercial or hirafi
bureau de traduction officielle,Other,0.729,new propodsed
maintenant industriels,اﻟﺻﻧﺎﻋﻳﺔ,0.892,rejected because has rejistre comercial or hirafi
consultant en propriété intellectuelle,Other,0.699,new propodsed
التماطل في تسليم بطاقة الشفاء للمقاول الذاتي,Other,0.66,new propodsed
تاجر,تاجر متنقل للبزاة,0.866,rejected because has rejistre comercial or hirafi
فحص اعطاب و مشاكل الآبار الارتوازية,Other,0.711,new propodsed
couturière a domicile,Other,0.764,new propodsed
confection de gâteaux orientales,Other,0.824,new propodsed
consultation dans la restauration et l'hôtellerie,Other,0.823,new propodsed
trading forex,Other,0.727,new propodsed
conseil en recrutement et gestion de talent,Other,0.696,new propodsed
مطعم متنقل,مقهى و مطعم,0.906,rejected because has rejistre comercial or hirafi
livreur à vélo et scouteur,عامل توصيل بالدراجة أو السكوتر,0.902,exist
مصور رياضي,مصور رياضي,1.0,exist
التكوين في مجال الطبخ و الحلويات,ﺻﻧﺎﻋﺔ اﻟﺣﻠوﻳﺎت,0.876,rejected because has rejistre comercial or hirafi
تقييم بسيكوتقني و تكوين في المقاييس النفسية و في علم النفس عامة,Other,0.543,new propodsed
consultant electrique expertise et formation,Other,0.775,new propodsed
تصليح ألات التسخين و الغسالات,تصليح المبردات,0.867,rejected because has rejistre comercial or hirafi
نقل الاشخاص,نقل الأشخاص الموجه,0.95,rejected because has rejistre comercial or hirafi
chiropraxie,Other,0.586,new propodsed
مرشد سياحي أو وطني,Other,0.759,new propodsed
مرمم تحف فنية,Other,0.825,new propodsed
transports des personnes,نقل الأشخاص الموجه,0.88,rejected because has rejistre comercial or hirafi
couturier,couturier spectacle,0.869,exist
livreur a velo ou a scouteur,Other,0.805,new propodsed
coach sportif,coach sportif,1.0,exist
coach sportif,coach sportif,1.0,exist
traiteur,Other,0.828,new propodsed
traiteur,Other,0.828,new propodsed
tenue comptable et déclaration social,Other,0.783,new propodsed
مرمم تحف فنية,Other,0.825,new propodsed
حلاق,اﻟﺟﺎﻓﺔ,0.974,rejected because has rejistre comercial or hirafi
oil and gas servicing engineer / مهندس خدمات,مهندس في خزانات انتاج النفط والطين,0.859,exist
boutique en ligne,مسوق التجارة الالكترونية,0.845,exist
gmao,اﻟﺣﺑرﻳﺔ,0.906,rejected because has rejistre comercial or hirafi
formation,Other,0.688,new propodsed
conseils aux entreprises - rédaction cahiers des charges,Other,0.701,new propodsed
الافتات الاشهارية و الطباعة,مركب في الطباعة,0.935,exist
coursier à voiture,chauffeur(se) de personnes,0.888,exist
21201 21203,Other,0.518,new propodsed
conseiller en relation conjugal et familiales,Other,0.779,new propodsed
technicien supérieur en maintenance informatique et bureautique,technicien de maintenance de systèmes informatiques,0.892,exist
tradeur,Other,0.782,new propodsed
location maison de vacance,وساطة عقارية,0.848,rejected because has rejistre comercial or hirafi
تسيير ورسكلة النفايات,جمع النفايات الخاصة,0.874,rejected because has rejistre comercial or hirafi
نجارة المنيوم,Other,0.819,new propodsed
الترصيص الصحي وتركيب الغاز,Other,0.807,new propodsed
مدرسة تعليم اللغات,مؤسسة تعليم اللغات,0.948,rejected because has rejistre comercial or hirafi
agent de tourisme et service de visa,وكالة السفر والسياحة,0.864,rejected because has rejistre comercial or hirafi
كراء السيارات مع أو بدون سائق,كراء السيارات مع أو بدون سائق,1.0,rejected because has rejistre comercial or hirafi
الترصيص الصحي ونظام التدفئة,dépanneur en installations de froid et climatisation,0.901,exist
توزيع المواد الغذائية,تجارة بالتجزئة للتغذية العامة ( بقاله,0.835,rejected because has rejistre comercial or hirafi
centre de puvatherapie dermato-esthetique,Other,0.637,new propodsed
exportation de produits de terroir,Other,0.696,new propodsed
prise des rendez vous pour dépôt de visa et traitement de dossiers,Other,0.625,new propodsed
روضة اطفال,ﺑﺎﻷطﻔﺎﻝ,0.896,rejected because has rejistre comercial or hirafi
ingénieur gestion de construction et travaux publique,رسام تنفيذي في البناءات الميكانيكية,0.853,exist
consultant et superviseur electrique dans les cimenteries,technicien principal études et surveillance des travaux électricité,0.858,exist
technical consultant for fishing and remedial/ thru-tubing/ wellbore departure/ well abandonment,Other,0.638,new propodsed
